GDA
SCN3A
LOC650157
SCN3B
RP4-737E23.4
GFER
RPLP2
SNORA70
PIP5KL1
BTBD1
BTBD2
RPLP1
BTBD3
ACAA2
TMEFF2
TMEFF1
TFPT
SCN2B
BARHL1
UGCG
SCN2A
BARHL2
BTBD7
BTBD6
GEM
BTBD9
OR1S2
BTBD8
OR1S1
RBMY1A3P
AC008537.3
TAGLN
TFPI
HSD11B1
HSD11B2
ACAA1
SCN1A
RALGPS2
SCN1B
RALGPS1
LOC401357
T
ATN1
FAIM
ACACA
GGH
PPAPDC1B
PPAPDC1A
OR1Q1
ACACB
ZSCAN4
SULT6B1
ZSCAN1
ZSCAN2
GGN
GH2
GNGT1
GH1
GNGT2
UBTFL1
LOC441666
PARP9
PARP8
POP1
PARP6
PP13
PARP3
POP4
PARP4
CT45A1
POP5
PARP1
CT45A4
ACAD11
PARP2
CT45A3
ACAD10
POP7
GFAP
BCKDK
MGRN1
ANP32A
AMY2A
GHR
PARVG
GIP
MTERF
AIFM3
ANP32B
AIFM2
ANP32C
AIFM1
ANP32D
LOC729409
ANP32E
FLJ10038
SLC3A2
GIF
RHOXF2B
SLC3A1
CCT6A
DUXAP10
LOC729400
LOC100133315
BRWD3
BRWD1
BRWD2
FANCD2
AMY1B
PARVB
PARVA
SCML4
PTOV1
MDS2
ECEL1
GK2
SCML2
SCML1
UGDH
OFCC1
POT1
LOC401321
DOM3Z
CCT6B
PARS2
DHCR7
GK5
ATRN
LOC100133337
MANBA
ATRX
GLA
AC084209.1
SPATA2L
QRFPR
SPATA20
OR1J2
OR1J1
OR1J4
NR2E3
NR2E1
CTNNBL1
NLRC5
NLRC4
NUDCD3
NLRC3
NUDCD2
GALR1
ATG5
NUDCD1
ATG7
GALR3
GALR2
LOC729458
LOC729459
SPATA21
SPATA22
NET1
BCL10
OR1K1
B3GNTL1
FADD
IL11RA
SKOR1
SPATA18
SPATA19
LOC728716
SPATA16
SPATA17
NEU1
NEU3
SPATA12
NEU2
SPATA13
NEU4
ARHGDIG
TFE3
TFEB
ST8SIA1
ST8SIA3
RP11-347C12.3
ST8SIA2
LBX2-AS1
ATF1
NR2C2
EPM2AIP1
ATF2
NR2C1
QSER1
TFEC
TFF2
SCN9A
MANEA
TFF3
LOC728701
TFF1
ARHGDIA
ARHGDIB
OR1I1
SHPRH
MEA1
FLJ25758
ATG3
MPRIP
HDAC5
ATF6
HDAC4
ATF5
HDAC3
ATF4
HDAC2
ATF3
HDAC1
ST8SIA6
FTLP17
ST8SIA4
FAAH
RGAG1
ATF7
ST8SIA5
RGAG4
SCN8A
HDAC9
HDAC8
HDAC7
HDAC6
HINT3
ATL2
ATL1
HP1BP3
HINT1
HINT2
ATL3
OR1N2
OR1N1
RP1-163G9.1
ALS2CR12
SCN7A
ACAD8
ALS2CR11
ACAD9
IMPDH1
IMPDH2
ACADM
ACADS
LOC441601
GAN
ACADL
GAL
NEXN
GAK
SNRNP200
GAA
MAPRE2
MAPRE1
MAPRE3
UGP2
OR1L8
OR1L6
OR1L4
OR1L3
OR1L1
WDYHV1
TFAM
ATIC
DCLK3
DCLK2
SCNN1G
SCNN1B
SCN5A
SCNN1A
DCLK1
SCNN1D
GBA
AC011498.3
AC011498.2
RNF5P1
OR1M1
GCG
CUL4A
GCK
MEP1A
SCN4B
MEP1B
FAF2
CUL4B
FAF1
GCA
SCN4A
RNF113B
LOC729461
RNF113A
RAB3GAP2
IL6ST
RAB3GAP1
NELL1
AC005551.1
NELL2
FST
PPCS
NELF
WWP2
WWP1
FLJ13744
WWOX
FTL
SGPL1
C5AR1
AC005358.1
FRY
WASH5P
PPBP
ACAP3
ACAP1
ACAP2
LOC730110
ATP5C1
NEK8
NEK9
OR2D2
OR2D3
NEK4
NEK5
NEK6
MDH2
NEK7
MDH1
FUS
OR2B3
NEK3
NEK2
NEK1
ACAT2
ACAT1
PPAT
FUZ
NR1H2
VRK1
RP11-63L7.1
VRK2
VRK3
MAML3
OR2C3
NR1H4
TYROBP
NR1H3
OR2C1
MDFI
OR2A2
OR2A5
OR2A4
TM2D1
TM2D2
MAML1
FTO
MAML2
ALMS1
TM2D3
AFG3L2
PPA2
PPA1
TNKS1BP1
NR1I3
ZFHX4
NR1I2
SUPT16H
FUK
ZFHX2
OR2B2
LOC729390
STEAP3
OR10A5
OR10A6
STEAP4
LOC731602
OR10A3
IER3IP1
OR10A4
EID2B
OR10A2
NUDT9P1
MITD1
OR10A7
FXN
LOC100418883
WASH2P
LOC440570
SIGMAR1
LOC728763
RPL23AP32
OR2H2
OR2H1
STEAP2
STEAP1
MON1B
MON1A
PARD3
LOC728734
NEO1
OR2G3
OR2G2
NR1D1
IL10RB
NR1D2
MDC1
OR2G6
IL10RA
BPIFA4P
NENF
LOC440577
FYB
LOC728743
CSNK1A1L
TEX9
BLVRA
OR2F2
TEX2
OR2F1
MEOX2
FYN
MEOX1
BLVRB
ZSCAN12P1
ATP5A1
WASH3P
LOC728739
PI1KAP2
LOC647262
APOBEC3G
APOBEC3H
APOBEC3F
APOBEC3C
APOBEC3D
APOBEC3B
APOBEC3A
TTC21A
